
| Column                         | Type      |
+--------------------------------+-----------+
| BHXH_MA_BENHVIEN               | VARCHAR2  |
| BHXH_MATINH                    | VARCHAR2  |
| BHXH_NGAYAPDUNG                | VARCHAR2  |
| BHXH_SO_THANG_BHYT             | NUMBER    |
| BHXH_TAI_NAN                   | NUMBER    |
| BHXH_TAMTRU                    | VARCHAR2  |
| BHXH_TEN_BENHVIEN              | VARCHAR2  |
| BHXH_THUONGTRU                 | VARCHAR2  |
| CMND                           | VARCHAR2  |
| CREATE_TIME                    | DATE      |
| CREATE_USER                    | VARCHAR2  |
| DIEMCONG_HE10                  | NUMBER    |
| DIEMCONG_HE4                   | NUMBER    |
| DIEN_THOAI_CD                  | VARCHAR2  |
| DIEN_THOAI_DD                  | VARCHAR2  |
| DIEN_THOAI_GDINH               | VARCHAR2  |
| DOITUONGDAOTAOID_CMC           | VARCHAR2  |
| EMAIL                          | VARCHAR2  |
| GHI_CHU                        | NVARCHAR2 |
| GHI_CHU_BANG                   | NVARCHAR2 |
| GIOI_TINH                      | NUMBER    |
| HODEM                          | NVARCHAR2 |
| ID_CHUCVU                      | NUMBER    |
| ID_CMC                         | VARCHAR2  |
| ID_CMC_LOP                     | VARCHAR2  |
| ID_DANTOC                      | NUMBER    |
| ID_DOITUONG_UUTIEN             | NUMBER    |
| ID_DOITUONGUU_CMC              | VARCHAR2  |
| ID_DONVI_LIENKET               | NUMBER    |
| ID_KHUVUC                      | NUMBER    |
| ID_LOAI_CSACH                  | NUMBER    |
| ID_NGANHANG                    | NUMBER    |
| ID_NGUYENVONG                  | NUMBER    |
| ID_PHUONGXA                    | NUMBER    |
| ID_QDINH_SVIEN_BUOCTHOIHOC     | NUMBER    |
| ID_QDINH_SVIEN_BUOCTHOIHOC_CMC | VARCHAR2  |
| ID_QDINH_SVIEN_CANHBAO         | NUMBER    |
| ID_QDINH_SVIEN_CANHBAO_CMC     | VARCHAR2  |
| ID_QDINH_SVIEN_CLOP            | NUMBER    |
| ID_QDINH_SVIEN_CLOP_CMC        | VARCHAR2  |
| ID_QDINH_SVIEN_CTRUONG         | NUMBER    |
| ID_QDINH_SVIEN_CTRUONG_CMC     | VARCHAR2  |
| ID_QDINH_SVIEN_KYLUAT          | NUMBER    |
| ID_QDINH_SVIEN_KYLUAT_CMC      | VARCHAR2  |
| ID_QDINH_SVIEN_LUUBAN          | NUMBER    |
| ID_QDINH_SVIEN_LUUBAN_CMC      | VARCHAR2  |
| ID_QDINH_SVIEN_QUAYLAIHOC      | NUMBER    |
| ID_QDINH_SVIEN_QUAYLAIHOC_CMC  | VARCHAR2  |
| ID_QDINH_SVIEN_TAMNGUNGHOC     | NUMBER    |
| ID_QDINH_SVIEN_TAMNGUNGHOC_CMC | VARCHAR2  |
| ID_QDINH_SVIEN_THOIHOC         | NUMBER    |
| ID_QDINH_SVIEN_THOIHOC_CMC     | VARCHAR2  |
| ID_QDINH_SVIEN_XOATEN          | NUMBER    |
| ID_QDINH_SVIEN_XOATEN_CMC      | VARCHAR2  |
| ID_QUOCTICH                    | NUMBER    |
| ID_THANHPHAN_GDINH             | NUMBER    |
| ID_TINH                        | NUMBER    |
| ID_TONGIAO                     | NUMBER    |
| ID_TRANGTHAI_SV                | NUMBER    |
| ID_TRANGTHAI_SV1               | NUMBER    |
| IS_CHUCVU_CONGDIEM             | NUMBER    |
| IS_DELETE                      | NUMBER    |
| IS_LUUBAN                      | NUMBER    |
| IS_NGANH2                      | NUMBER    |
| IS_NGOAITRU                    | NUMBER    |
| IS_NOITRU                      | NUMBER    |
| IS_SINHVIEN_DUTHINH            | NUMBER    |
| IS_THIEUNAM                    | NUMBER    |
| IS_THIEUNGAY                   | NUMBER    |
| IS_THIEUTHANG                  | NUMBER    |
| IS_TONGKET_DIEM                | NUMBER    |
| KHEN_THUONG                    | NVARCHAR2 |
| KHICAN_BANTINCHO_AI            | VARCHAR2  |
| KHICAN_BANTINCHO_AI_DIACHI     | VARCHAR2  |
| KY_LUAT                        | NVARCHAR2 |
| KY_NHAPHOC                     | VARCHAR2  |
| LOAI_BANG                      | VARCHAR2  |
| LOPHOC_CN_ID                   | NUMBER    |
| LOPHOC_ID                      | NUMBER    |
| MA_DVIQLY                      | VARCHAR2  |
| MA_SINHVIEN                    | VARCHAR2  |
| MAT_KHAU                       | VARCHAR2  |
| MAT_KHAU_CAP                   | VARCHAR2  |
| NAM_TN_BANG                    | NUMBER    |
| NAM_TOTNGHIEP_PTTH             | NUMBER    |
| NAM_TUYENSINH                  | NUMBER    |
| NGAY_CAP                       | VARCHAR2  |
| NGAY_CAP_BANG                  | VARCHAR2  |
| NGAY_SINH                      | VARCHAR2  |
| NGAYRA_TRUONG                  | VARCHAR2  |
| NGAYVAO_DANG                   | VARCHAR2  |
| NGAYVAO_DOAN                   | VARCHAR2  |
| NGAYVAO_TRUONG                 | VARCHAR2  |
| NGHE_NGHIEP                    | NVARCHAR2 |
| NGUOI_KY_BANG                  | VARCHAR2  |
| NIENCHE_OR_TINCHI              | NVARCHAR2 |
| NOI_CAP                        | NVARCHAR2 |
| NOI_CAP_BANG                   | VARCHAR2  |
| NOI_SINH                       | NVARCHAR2 |
| PATH_ANH_SINHVIEN              | VARCHAR2  |
| PHUONG_XA                      | NVARCHAR2 |
| QUAN_ID_CMC                    | VARCHAR2  |
| QUANHUYEN_ID                   | NUMBER    |
| QUE_QUAN                       | NVARCHAR2 |
| SINHVIEN_ID                    | NUMBER    |
| SINHVIEN_ID_N1                 | NUMBER    |
| SO_HIEU_BANG                   | VARCHAR2  |
| SO_TAIKHOAN                    | VARCHAR2  |
| SO_VAO_SO_BANG                 | VARCHAR2  |
| STT                            | NUMBER    |
| STT_SINHVIEN                   | NUMBER    |
| TEN                            | NVARCHAR2 |
| THONGTIN_BAOTIN                | NVARCHAR2 |
| THONGTIN_DETAI                 | VARCHAR2  |
| THONGTIN_NGOAITRU              | NVARCHAR2 |
| THONGTIN_NOITRU                | NVARCHAR2 |
| TN_TRUONG_THPT                 | VARCHAR2  |
| TUYENSINH_ID                   | NUMBER    |
| UPDATE_TIME                    | DATE      |
| UPDATE_USER                    | VARCHAR2  |
+--------------------------------+-----------+
